序号,代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率
16,603727,博迈科,18.65,10.03%,1.7,5万,9315万,1.53%,18.65,18.39,18.65,16.95,2.4,5.27%,291.24,1.84
17,586,汇源通信,14.59,10.03%,1.33,6.6万,9626万,0.00%,14.59,14.59,14.59,13.26,0.4,3.41%,-,12.1
18,603697,有友食品,22.73,10.02%,2.07,34.93万,7.68亿,8.23%,22.73,21.03,21.17,20.66,1.4,43.94%,38.1,4.66
19,300777,中简科技,24.92,10.02%,2.27,5952,1483万,0.00%,24.92,24.92,24.92,22.65,3.45,1.49%,102.24,11.49
20,300330,华虹计通,13.07,10.02%,1.19,21.23万,2.66亿,13.72%,13.07,11.44,11.6,11.88,1.3,12.66%,6810.83,5.96
21,300245,天玑科技,11.53,10.02%,1.05,26.86万,3.05亿,9.64%,11.53,10.52,10.52,10.48,1.06,10.35%,127.47,2.57
22,603628,清源股份,9.11,10.02%,0.83,1.88万,1697万,8.70%,9.11,8.39,8.4,8.28,1.34,2.12%,550.88,2.62
23,603956,威派格,22.52,10.01%,2.05,18.33万,4.01亿,10.60%,22.52,20.35,20.35,20.47,2.16,43.02%,-,9.82
24,2428,云南锗业,8.46,10.01%,0.77,69.28万,5.65亿,10.92%,8.46,7.62,7.7,7.69,2.49,10.75%,1546.43,3.71
25,2953,日丰股份,38.35,10.01%,3.49,2.12万,8131万,0.00%,38.35,38.35,38.35,34.86,0.1,4.93%,84.75,7.56
26,300391,康跃科技,7.8,10.01%,0.71,3.9万,3027万,10.01%,7.8,7.09,7.09,7.09,0.75,1.94%,27.35,1.89
27,300526,中潜股份,16.04,10.01%,1.46,5.81万,9195万,6.45%,16.04,15.1,15.18,14.58,2.35,9.68%,390.46,5.01
28,603079,圣达生物,30.01,10.01%,2.73,1.42万,4085万,9.93%,30.01,27.3,27.3,27.28,1.99,3.88%,59.54,4.24
29,300779,惠城环保,38.15,10.01%,3.47,1105,421.5万,0.00%,38.15,38.15,38.15,34.68,1.1,0.44%,56.09,5.93
30,603396,金辰股份,32.42,10.01%,2.95,3.49万,1.1亿,8.25%,32.42,29.99,29.99,29.47,2.23,11.04%,25.89,2.68
31,603701,德宏股份,20.44,10.01%,1.86,10.17万,2.06亿,6.84%,20.44,19.17,19.77,18.58,1.08,7.12%,46.98,4.18
32,300775,三角防务,18.25,10.01%,1.66,1688,308万,0.00%,18.25,18.25,18.25,16.59,2.05,0.34%,41.27,5.38
33,2902,铭普光磁,32.64,10.01%,2.97,15.83万,4.96亿,11.76%,32.64,29.15,30,29.67,2.61,21.90%,122.19,4.28
34,300722,新余国科,25.39,10.01%,2.31,2.47万,6024万,10.36%,25.39,23,23.2,23.08,1.98,8.84%,120.91,7.37
35,300746,汉嘉设计,18.35,10.01%,1.67,5.99万,1.09亿,5.04%,18.35,17.51,17.51,16.68,1.65,8.44%,69.51,4.24
36,300748,金力永磁,59.7,10.01%,5.43,11.02万,6.38亿,6.98%,59.7,55.91,56.88,54.27,0.9,26.49%,234.09,23.54
37,300767,震安科技,41.13,10.00%,3.74,6.22万,2.49亿,10.32%,41.13,37.27,37.48,37.39,3.86,31.11%,43.32,3.68
38,603045,福达合金,32,10.00%,2.91,17.06万,5.31亿,9.87%,32,29.13,29.13,29.09,1.39,25.17%,52.74,4.02
39,2952,亚世光电,58.98,10.00%,5.36,4.18万,2.41亿,7.42%,58.98,55,55.91,53.62,3.04,27.44%,53.09,5.51
40,603327,福蓉科技,21.56,10.00%,1.96,3586,773.1万,0.00%,21.56,21.56,21.56,19.6,2.81,0.70%,31.97,8.05
